,host_is_superhost,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,shared_bathrooms,private_bathrooms
3577,f,Friedrichshain-Kreuzberg,52.49515,13.40504,Entire home/apt,4,1,2,107.0,2,14,0,0,0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
3578,f,Mitte,52.52443,13.40682,Entire home/apt,3,1,1,70.0,2,6,0,0,0,3,5.0,5.0,4.67,5.0,5.0,5.0,4.67,t,0.0,1.0
3579,f,Pankow,52.5467,13.40426,Entire home/apt,2,1,1,100.0,3,1125,0,0,0,11,4.82,4.91,4.82,4.64,4.91,4.64,4.73,t,0.0,1.0
3580,t,Friedrichshain-Kreuzberg,52.49179,13.41354,Entire home/apt,2,1,1,205.0,1,60,29,59,89,29,4.96,4.93,4.89,4.93,4.93,5.0,4.85,f,0.0,1.0
3581,f,Mitte,52.55419,13.38638,Entire home/apt,3,1,1,100.0,2,1125,0,18,48,27,4.73,4.81,4.92,4.92,4.77,4.19,4.38,f,0.0,1.0
3582,f,Tempelhof - Schöneberg,52.4916,13.36777,Private room,2,1,1,27.0,1,1125,0,0,0,2,5.0,5.0,4.5,4.5,4.5,4.0,5.0,f,0.0,1.0
3583,f,Neukölln,52.46906,13.4248,Private room,2,1,1,18.0,2,1125,0,0,0,4,4.75,5.0,4.75,5.0,5.0,5.0,5.0,f,0.0,1.0
3584,f,Mitte,52.52454,13.33906,Private room,2,1,2,40.0,3,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3585,f,Friedrichshain-Kreuzberg,52.49566,13.43922,Private room,4,1,2,50.0,3,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3586,f,Pankow,52.5573,13.43064,Entire home/apt,4,1,3,120.0,5,1125,7,7,7,31,4.9,5.0,4.87,4.81,4.9,4.68,4.65,f,0.0,1.0
3587,t,Mitte,52.5063,13.41735,Entire home/apt,6,1,3,187.0,1,150,0,0,18,98,4.93,4.97,4.88,4.79,4.96,4.84,4.72,t,0.0,1.0
3588,f,Mitte,52.51199,13.39392,Private room,2,1,2,25.0,7,1125,0,0,0,3,4.67,4.67,4.0,4.0,5.0,5.0,5.0,f,0.0,2.0
